handle,first_name,last_name,status,photo_url,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,igl,gender,country,primary_language,regions,league
dodonut,Karnthida,Chaisrekeo,active,http://static.lolesports.com/players/1632364575170_silhouette-female.png,FLY.R,"Raze, Jett, Sage",6799.0,1.21,246.6,1.24,74%,162.2,0.86,0.26,0.16,0.12,23%,22%,FALSE,Female,Thailand,Thai,na,valorant game changers
CBUI,Catherine,Bui,active,http://static.lolesports.com/players/1632365253357_silhouette-female.png,PP,"omen, astra, kayo",3265.0,0.99,187.5,0.95,73%,123.4,0.66,0.4,0.07,0.07,23%,15%,FALSE,Female,United States,English,na,valorant game changers
Grego,Gregory,McAllen,active,http://static.lolesports.com/players/1681051401785_silhouette_transparent.png,MSF,"Raze, Breach, Phoenix",960.0,0.87,184.1,0.8,65%,121.4,0.63,0.26,0.1,0.12,22%,13%,FALSE,Male,UNITED STATES,English,na,valorant game changers
jenna,Jenna,Royer,active,http://static.lolesports.com/players/1632346412796_silhouette-female.png,YFPB,"sova, chamber, viper",517.0,0.73,150,0.64,59%,103.3,0.5,0.21,0.04,0.07,20%,11%,FALSE,Female,UNITED STATES,English,na,valorant game changers
LeahPanda,Leah,Nemchin-Cossman,active,http://static.lolesports.com/players/1632364545356_silhouette-female.png,Wild,"Sova, Cypher, Breach",2703.0,0.86,168.9,0.79,69%,111.9,0.57,0.33,0.05,0.07,16%,13%,FALSE,Female,Canada,English/French,na,valorant game changers
Kamiunist,Viranika,Tulina,active,http://static.lolesports.com/players/1632351486669_silhouette-female.png,Thri,"jett, skye, sova",1010.0,0.86,198.5,0.86,65%,129.2,0.69,0.26,0.1,0.15,21%,14%,FALSE,Female,UKRAINE,Ukrainian,na,valorant game changers
clawdia,Claudia,Che,active,http://static.lolesports.com/players/1632349389098_silhouette-female.png,COL,"Killjoy, Jett, Chamber",5352.0,0.97,199.6,0.97,71%,132.0,0.68,0.23,0.11,0.11,22%,13%,FALSE,Female,UNITED STATES,English,na,valorant game changers
Lynn,Lynn,Clarke,active,http://static.lolesports.com/players/1632350766346_silhouette-female.png,GENG,"Jett, Raze, Viper",1280.0,0.9,219.8,0.91,65%,144.4,0.75,0.2,0.17,0.2,20%,14%,FALSE,Female,Chile,Spanish,na,valorant game changers
Showliana,Juliana,Maransaldi,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,KRï¿½ï¿½ï¿½,"Sova, Fade, Viper",2924.0,1.01,196.7,0.96,70%,130.2,0.68,0.32,0.07,0.07,22%,14%,TRUE,Female,Brazil,Portuguese,na,valorant game changers
Carlee,Carlee,Gress,active,http://static.lolesports.com/players/1632350661641_silhouette-female.png,mfs,"Sova, Breach, Raze",2927.0,0.93,178.1,0.89,70%,118.4,0.61,0.31,0.05,0.08,25%,18%,FALSE,Female,United States,English,na,valorant game changers
Jules,Julia,Dominguez,active,,YCHT,"Cypher, Killjoy, Viper",281.0,0.92,186.4,0.86,72%,132.4,0.64,0.2,0.05,0.06,29%,6%,FALSE,Female,Argentina,Spanish,na,valorant game changers
LAZYLION,Nathan,Hoang,active,http://static.lolesports.com/players/1690153015486_silhouette_transparent.png,DSG,"sova, killjoy, cypher",4312.0,1.02,205.9,1.03,71%,135.6,0.73,0.29,0.09,0.09,27%,14%,FALSE,Male,VIETNAM,Vietnamese,na,valorant game changers
Apidaez,Shelby,Freitas,active,http://static.lolesports.com/players/1632346528606_silhouette-female.png,YFPB,"omen, viper, breach",669.0,0.7,143.4,0.64,66%,93.8,0.48,0.3,0.05,0.08,14%,14%,FALSE,Female,CANADA,English/French,na,valorant game changers
Panini,Vanessa,Emory,active,http://static.lolesports.com/players/1632344407755_silhouette-female.png,oomf,"Viper, Omen, Astra",5098.0,1.0,192.7,0.97,73%,126.4,0.68,0.3,0.07,0.07,24%,10%,FALSE,Female,United States,English,na,valorant game changers
Kaya,Nekrassova,Yekaterina,active,http://static.lolesports.com/players/1633033031951_silhouette.png,YFP,"chamber, killjoy, sova",613.0,0.92,181.5,0.86,66%,122.5,0.66,0.13,0.09,0.08,27%,12%,FALSE,Female,INDIA,Hindi/English,na,valorant game changers
refinnej,Jennifer,Le,active,http://static.lolesports.com/players/1681051448719_silhouette_transparent.png,FaZe,"killjoy, chamber, sova",1613.0,0.94,190.2,0.93,68%,129.2,0.67,0.19,0.08,0.09,22%,13%,FALSE,Female,United States,English,na,valorant game changers
misu,Xanna,Kim-Alaniz,active,http://static.lolesports.com/players/1690152677298_silhouette_transparent.png,RF.GC,"Sova, Viper, Omen",2531.0,1.0,188,0.97,73%,125.2,0.66,0.38,0.06,0.06,24%,13%,FALSE,Female,United States,English,na,valorant game changers
miyara,Tatyana,Babb,active,http://static.lolesports.com/players/1690155816456_silhouette_transparent.png,SaD,"sova, skye, viper",1465.0,0.92,178.5,0.82,71%,120.4,0.61,0.35,0.04,0.06,22%,8%,FALSE,Female,UNITED STATES,English,na,valorant game changers
